player,batting_elo,total_runs,matches_played,bowling_elo,total_wickets,matches_2plus_overs,allrounder_elo
KJ O'Brien,1693.2397368843513,2040,100,1575.2139858192493,63,38,1633.1610192767691
KMA Paul,1576.326118782908,1022,80,1422.3326649543353,80,80,1497.3510374543498
KR Mayers,1749.7116768985134,2786,138,1408.9500757675994,36,52,1570.1134989985958
KV Sharma,1580.957697640038,882,75,1441.2306471180464,121,115,1509.4782825983316
Khushdil Shah,1662.1371224799254,1326,84,1488.5140434419382,35,32,1572.9318004724623
LA Dawson,1560.8494253860242,646,45,1456.7151455942992,58,59,1507.8836155194408
LM Jongwe,1534.542814587365,538,47,1528.4530665825403,63,47,1531.4949137226217
LS Livingstone,1853.2443638509508,3598,166,1432.4273414304998,65,72,1629.3059556547614
Lalit Yadav,1603.5433617815888,834,48,1460.718164642375,39,46,1530.4655880960104
M Jansen,1541.3031668859487,825,65,1498.201952095355,107,91,1519.5997543429917
MA Leask,1629.8698189241125,1045,64,1483.9530557162145,50,47,1555.2010475215318
MC Henriques,2002.3930758911551,4526,206,1423.7591948952322,70,81,1688.4684046776174
MG Erasmus,1695.8478841563613,1853,76,1567.3549527665318,64,45,1630.3360329610325
MG Neser,1505.6352388489395,665,67,1503.9933394048956,109,94,1504.814065192808
MJ Santner,1554.331828047774,1062,108,1536.1576548750004,178,155,1545.218022115792
MM Ali,1742.0995851301905,3049,177,1430.5461448493036,123,125,1578.6557083327464
MN Samuels,1805.5449231746277,2903,129,1477.5695198368885,62,62,1633.3456906543288
MNM Aslam,1568.340000341462,680,41,1524.1217633828167,72,60,1546.0728077630226
MP Stoinis,2140.485852430285,6645,282,1447.0312654499503,150,134,1759.9289621231621
MR Adair,1577.2913432631262,812,67,1612.300900205878,142,90,1594.7000509908053
MR Marsh,1998.036775632291,5080,193,1502.3305373379053,84,76,1732.544851585827
MW Short,1741.8505365365895,2596,100,1444.1079763511345,38,46,1586.0076460799273
Mahmudullah,1838.4800960856662,2795,157,1412.4162603088919,49,64,1611.4276843735956
Manisankar Murasingh,1571.765620897734,535,32,1480.323211475625,30,35,1525.3593450771896
Mohammad Hafeez,2057.413473725097,5127,236,1376.827276738856,108,128,1683.0635728203363
Mohammad Nabi,1692.684037206859,1627,100,1380.552718334297,90,106,1528.6724792600282
Mohammad Nadeem,1558.3785400218171,618,39,1463.943462930831,38,43,1510.4231448294981
Mohammad Nawaz,1586.0506751991309,849,59,1482.095638980902,56,55,1533.1923522230818
Mohammad Nawaz (3),1550.4807121680437,591,49,1464.7617073569702,76,77,1507.0118696212432
N Nipiko,1582.1249244152864,754,29,1520.3923162661092,37,20,1550.9515074476378
N Vanua,1543.664640719982,655,40,1538.7405128205132,60,42,1541.2006102011374
