player,matches_2plus_overs,total_wickets,total_balls,total_runs,bowling_avg,economy,wickets_per_match,milestone_100_wickets,bowling_elo
L Gregory,24,17,404,634,37.294117647058826,9.415841584158416,0.7083333333333334,False,1444.8995726495725
L Guthrie,6,6,143,209,34.833333333333336,8.76923076923077,1.0,False,1497.7393548387097
L Haskett,2,2,31,78,39.0,15.096774193548386,1.0,False,1497.611111111111
L Karlsson,11,19,245,245,12.894736842105264,6.0,1.7272727272727273,False,1514.35641025641
L Kishan Singha,12,10,245,329,32.9,8.057142857142857,0.8333333333333334,False,1488.412489557226
L McCarthy,1,0,26,81,,18.692307692307693,0.0,False,1495.0
L Monanthane,3,1,47,46,46.0,5.872340425531915,0.3333333333333333,False,1491.8653846153845
L Ngidi,84,132,1914,2752,20.848484848484848,8.626959247648903,1.5714285714285714,True,1599.7661909046117
L Nou,2,2,42,39,19.5,5.571428571428571,1.0,False,1501.3333333333333
L Nyarko,4,4,68,44,11.0,3.8823529411764706,1.0,False,1496.7
L Pope,37,49,789,1078,22.0,8.197718631178708,1.3243243243243243,False,1513.7310556305292
L Sanogo,3,3,80,90,30.0,6.75,1.0,False,1500.722857142857
L Scott,3,2,55,104,52.0,11.345454545454546,0.6666666666666666,False,1493.0277777777776
L Shafeeg,15,16,309,394,24.625,7.650485436893204,1.0666666666666667,False,1496.7378947368422
L Siaka,5,7,83,75,10.714285714285714,5.421686746987952,1.4,False,1505.0
L Sipamla,19,18,411,626,34.77777777777778,9.138686131386862,0.9473684210526315,False,1476.2571794871794
L Wood,43,63,994,1428,22.666666666666668,8.619718309859156,1.4651162790697674,False,1540.2421708548254
LA Burns,22,45,618,591,13.133333333333333,5.737864077669903,2.0454545454545454,False,1537.0667080231594
LA Dawson,59,58,1215,1521,26.224137931034484,7.511111111111111,0.9830508474576272,False,1456.7151455942992
LA Doran,11,7,181,227,32.42857142857143,7.524861878453039,0.6363636363636364,False,1481.767543859649
LA Musiani,3,2,51,63,31.5,7.411764705882353,0.6666666666666666,False,1496.5833333333335
LA Simango,9,9,157,174,19.333333333333332,6.64968152866242,1.0,False,1499.5866666666666
LAS Sebastien,5,1,84,94,94.0,6.714285714285714,0.2,False,1481.6410256410259
LB Williams,28,42,593,895,21.30952380952381,9.055649241146712,1.5,False,1513.8604360938218
LC Hatcher,22,28,526,714,25.5,8.144486692015208,1.2727272727272727,False,1502.939329091961
LC Le Tissier,6,11,144,129,11.727272727272727,5.375,1.8333333333333333,False,1515.4444444444446
LD Madushanka,1,0,26,36,,8.307692307692308,0.0,False,1495.0
LE Plunkett,38,47,855,1152,24.51063829787234,8.08421052631579,1.236842105263158,False,1497.6113080639163
LF Muller,1,1,28,21,21.0,4.5,1.0,False,1501.0
LH Ferguson,99,148,2330,2962,20.013513513513512,7.627467811158799,1.494949494949495,True,1602.6116400253702
LH Rodrigues,9,12,231,203,16.916666666666668,5.2727272727272725,1.3333333333333333,False,1502.8308913308913
LHB Harrington-Myers,1,2,20,13,6.5,3.9,2.0,False,1505.0
LI Meriwala,41,68,859,1051,15.455882352941176,7.341094295692667,1.6585365853658536,False,1540.8929824561403
LJ Leokaoke,2,2,48,45,22.5,5.625,1.0,False,1501.25
LJ Myott,13,26,330,346,13.307692307692308,6.290909090909091,2.0,False,1540.0666666666668
LJ Woodcock,3,2,60,73,36.5,7.3,0.6666666666666666,False,1495.5833333333333
LJ Wright,25,21,464,655,31.19047619047619,8.469827586206897,0.84,False,1477.8913630229417
