player,total_runs,total_balls,matches_played,bat_avg,strike_rate,milestone_1000_runs,batting_elo
SS Iyer,6052,4580,211,28.682464454976305,132.13973799126637,True,2091.006711497332
SV Samson,6511,4789,239,27.242677824267783,135.95740238045522,True,2092.8719775002173
SW Billings,3103,2362,149,20.825503355704697,131.37171888230313,True,1826.526706188923
Shakib Al Hasan,4359,3748,240,18.1625,116.30202774813235,True,1905.7023626338769
Shoaib Malik,6816,5621,281,24.256227758007118,121.25956235545277,True,2291.2458756985375
Shubman Gill,5056,3747,152,33.26315789473684,134.9346143581532,True,1953.298476656489
Sikandar Raza,3213,2403,148,21.70945945945946,133.7078651685393,True,1804.5290650113425
T Stubbs,2341,1710,104,22.509615384615383,136.90058479532163,True,1781.4883840519294
TH David,4559,2965,208,21.91826923076923,153.76053962900505,True,2043.4040527120096
TL Seifert,2989,2302,131,22.81679389312977,129.84361424847958,True,1808.7004188212186
TM Head,3888,2653,134,29.01492537313433,146.55107425555974,True,1897.5760968159032
Tamim Iqbal,2710,2386,108,25.09259259259259,113.57921207041073,True,1791.1863817072851
Tilak Varma,2742,1948,92,29.804347826086957,140.75975359342917,True,1778.6521792552167
UT Khawaja,2776,2155,94,29.53191489361702,128.8167053364269,True,1801.9988771452813
V Kohli,13723,10561,398,34.47989949748744,129.94034655809108,True,2754.8471477154458
V Sehwag,3118,2117,123,25.349593495934958,147.28389230042512,True,1779.84267859804
VR Iyer,2502,1869,96,26.0625,133.86837881219904,True,1780.3961688079194
WP Saha,3495,2812,167,20.92814371257485,124.28876244665719,True,1856.5731246628745
YBK Jaiswal,3166,2146,102,31.03921568627451,147.53028890959925,True,1790.8394786125552
YK Pathan,3812,2863,194,19.649484536082475,133.14704855047154,True,1895.4323718173036
Yuvraj Singh,4380,3544,202,21.683168316831683,123.58916478555304,True,1987.0430632219786
